internship,company_name,skills,perks,location,duration,stipend,applicants,ifSkillsorPerksMissingUseThis
.Net Development,Hapinee Solutions Private Limited,".NET, Amazon Web Server (AWS)",,Work From Home,6 Months,1000 /month + Incentives,Be an early applicant,".NET
Amazon Web Server (AWS), Certificate
Letter of recommendation"
Mobile App Development,Designandconstruct.in,,,Bangalore,2 Months,15000 /month,Be an early applicant,"Certificate
Letter of recommendation
Informal dress code
5 days a week
Free snacks & beverages"
Web Development,Designandconstruct.in,,,Bangalore,2 Months,15000 /month,85 applicants,"Certificate
Letter of recommendation
Informal dress code
5 days a week
Free snacks & beverages"
WordPress Development,Speaking Grey,"WordPress, UI & UX Design","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,2 Months,Unpaid,Be an early applicant,"WordPress
UI & UX Design, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
WordPress Development,Viral Inbound,"PHP, HTML, CSS, JavaScript, WordPress","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,7000 /month,33 applicants,"PHP
HTML
CSS
JavaScript
WordPress, Certificate
Letter of recommendation
Flexible work hours"
Software Testing (Manual),Lattice Innovations Private Limited,"Software Testing, Manual Testing, GUI Testing","Certificate, 5 days a week",Work From Home,3 Months,10000-15000 /month,129 applicants,"Software Testing
Manual Testing
GUI Testing, Certificate
5 days a week"
Web Development,AgileWaters,"PHP, JavaScript, WordPress, Node.js, Japanese Proficiency (Written)","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,4000 /month,Be an early applicant,"PHP
JavaScript
WordPress
Node.js
Japanese Proficiency (Written), Certificate
Letter of recommendation
Flexible work hours"
Full Stack Development,Providentia Info Tech Private Limited,"Java, Python, SQL, Node.js, Microsoft Azure, ReactJS",,Work From Home,3 Months,5000 /month,Be an early applicant,"Java
Python
SQL
Node.js
Microsoft Azure
ReactJS, Certificate
Flexible work hours
5 days a week"
Angular.js Development,Hapinee Solutions Private Limited,"Java, PHP, HTML, CSS, JavaScript, XML, AngularJS, REST API, Amazon Web Services (AWS), Android, ReactJS, Stripe Payment API, PayPal API, Firebase, Amazon Web Server (AWS)","Certificate, Letter of recommendation",Work From Home,6 Months,1000 /month + Incentives,Be an early applicant,"Java
PHP
HTML
CSS
JavaScript
XML
AngularJS
REST API
Amazon Web Services (AWS)
Android
ReactJS
Stripe Payment API
PayPal API
Firebase
Amazon Web Server (AWS), Certificate
Letter of recommendation"
Product Management,Estee Advisors,,5 days a week,Gurgaon,3 Months,40000-50000 /month,32 applicants,5 days a week
Web Development,Gloify,"HTML, CSS, JavaScript, jQuery, ReactJS, Angular 7.0","Certificate, Letter of recommendation, 5 days a week, Job offer",Bangalore,3 Months,10000 /month,38 applicants,"HTML
CSS
JavaScript
jQuery
ReactJS
Angular 7.0, Certificate
Letter of recommendation
5 days a week
Job offer"
Web Development,DAZTA TECHNOLOGIES LLP,"HTML, CSS, JavaScript, Python, Linux, Node.js, Angular 7.0","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages","Chennai, Chengalpattu, Kanchipuram, Tambaram Sanatorium, Pallavaram, Perungudi, Adambakkam, Madipakkam",6 Months,6000 /month,Be an early applicant,"HTML
CSS
JavaScript
Python
Linux
Node.js
Angular 7.0, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Free snacks & beverages"
Web Development,Volar Media House,"PHP, HTML, CSS, jQuery, WordPress, Bootstrap, LARAVEL",,Pune,3 Months,3000 /month,Be an early applicant,"PHP
HTML
CSS
jQuery
WordPress
Bootstrap
LARAVEL, Certificate
Letter of recommendation"
PHP And WordPress Development,DigiLogic Infocom,"PHP, WordPress, CodeIgniter","Certificate, Letter of recommendation, 5 days a week","Delhi, Ghaziabad, Noida",6 Months,5000 /month,Be an early applicant,"PHP
WordPress
CodeIgniter, Certificate
Letter of recommendation
5 days a week"
DevOps & Site Reliability Engineering,RedCarpetUp,,,Work From Home,6 Months,17000-25000 /month,Be an early applicant,"Certificate
Letter of recommendation
Flexible work hours"
Web Development,Iquester Solutions LLP,"MySQL, JavaScript, Node.js, Express.js, React Native","Certificate, Flexible work hours",Work From Home,3 Months,2500 /month,Be an early applicant,"MySQL
JavaScript
Node.js
Express.js
React Native, Certificate
Flexible work hours"
Flutter App Development,Jyotishi App,"HTML, CSS, JavaScript, ReactJS, Redux",,Work From Home,1 Month,8000 /month + Incentives,Be an early applicant,"HTML
CSS
JavaScript
ReactJS
Redux, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Fedo,"Python, Django, Angular 7.0","Certificate, Letter of recommendation, Job offer",Bangalore,3 Months,7000 /month,Be an early applicant,"Python
Django
Angular 7.0, Certificate
Letter of recommendation
Job offer"
Web Development,Roving PS Private Limited,Algorithms,"Certificate, Letter of recommendation",Work From Home,2 Months,10000-20000 /month,117 applicants,"Algorithms, Certificate
Letter of recommendation"
AR/VR Development,HVAR Technologies Private Limited,,,Bangalore,3 Months,10000-15000 /month,Be an early applicant,
Web Development,Accrete,"Python, Django, GitHub, REST API, Flask, Gitlab",,Mumbai,6 Months,25000 /month,Be an early applicant,"Python
Django
GitHub
REST API
Flask
Gitlab, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Job offer"
Java Development,TechVidya Career Private Limited,"Java, SQL, Hibernate (Java), Servlets, Swing (Java)","Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",Noida,3 Months,5000-8000 /month,Be an early applicant,"Java
SQL
Hibernate (Java)
Servlets
Swing (Java), Certificate
Letter of recommendation
Informal dress code
Free snacks & beverages"
Web Development,Neoculturation Media,"AngularJS, User Interface (UI) Development, Web Application Security, Amazon Web Services (AWS), ReactJS, Amazon Web Server (AWS)",,Delhi,2 Months,5000-8000 /month,Be an early applicant,"AngularJS
User Interface (UI) Development
Web Application Security
Amazon Web Services (AWS)
ReactJS
Amazon Web Server (AWS), Certificate
Letter of recommendation
Flexible work hours
Informal dress code"
Web Development,Sun International,,,Surajpur,1 Month,10000 /month,Be an early applicant,"Letter of recommendation
Informal dress code"
Web Development,CMP Digital Media,WordPress,"Certificate, Letter of recommendation, Flexible work hours",Work From Home,2 Months,1000 /month,29 applicants,"WordPress, Certificate
Letter of recommendation
Flexible work hours"
HubSpot Development,SoftEzi Solutions LLP,,,Work From Home,3 Months,5000 /month,Be an early applicant,"Certificate
Letter of recommendation
Flexible work hours"
IT Project Management,Idea Usher,Project Management,"Certificate, Letter of recommendation",Work From Home,6 Months,10000-20000 /month,Be an early applicant,"Project Management, Certificate
Letter of recommendation"
Web Development,Bikes24x7 (A Venture By RideOnRent Techonologies Private Limited),"HTML, CSS, JavaScript, Python, ReactJS",,Work From Home,3 Months,8000 /month,60 applicants,"HTML
CSS
JavaScript
Python
ReactJS, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Accrete,"Java, HTML, CSS, JavaScript, Bootstrap, MongoDB, GitHub, Angular 2.0, Gitlab",,Mumbai,6 Months,25000 /month,38 applicants,"Java
HTML
CSS
JavaScript
Bootstrap
MongoDB
GitHub
Angular 2.0
Gitlab, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Job offer"
Android App Development,Hapinee Solutions Private Limited,"Java, XML, Android, Firebase, Amazon Web Server (AWS)","Certificate, Letter of recommendation",Work From Home,6 Months,1000 /month,Be an early applicant,"Java
XML
Android
Firebase
Amazon Web Server (AWS), Certificate
Letter of recommendation"
Web Development,MWW (CryptoKnights),"HTML, CSS, WordPress, Search Engine Optimization (SEO), Email Marketing",,Work From Home,3 Months,10000-12000 /month,31 applicants,"HTML
CSS
WordPress
Search Engine Optimization (SEO)
Email Marketing, Letter of recommendation
Flexible work hours"
Web Development,Traffic Tail,"WordPress, CMS, UI & UX Design","Certificate, Letter of recommendation, Flexible work hours",Work From Home,2 Months,10000-15000 /month,48 applicants,"WordPress
CMS
UI & UX Design, Certificate
Letter of recommendation
Flexible work hours"
Mobile App Development,SoftEzi Solutions LLP,"JavaScript, MongoDB, Node.js, Flutter, REST API, React Native, Amazon Web Server (AWS)",,Work From Home,3 Months,5000 /month,Be an early applicant,"JavaScript
MongoDB
Node.js
Flutter
REST API
React Native
Amazon Web Server (AWS), Certificate
Letter of recommendation"
Web Development (Django),Verzeo,"HTML, Python, AJAX, Django, REST API",Certificate,Bangalore,3 Months,10000-15000 /month,40 applicants,"HTML
Python
AJAX
Django
REST API, Certificate"
Web Development,Setco Automotive Limited,.NET,Certificate,Ahmedabad,3 Months,5000 /month,Be an early applicant,".NET, Certificate"
Web Development,Setco Automotive Limited,.NET,Certificate,Ahmedabad,3 Months,5000 /month,Be an early applicant,".NET, Certificate"
Web Development,Setco Automotive Limited,.NET,Certificate,Ahmedabad,3 Months,5000 /month,Be an early applicant,".NET, Certificate"
Web Development,Editoo Media,"MySQL, HTML, CSS, JavaScript, .NET, MongoDB, Node.js","Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",Gurgaon,2 Months,5000 /month,Be an early applicant,"MySQL
HTML
CSS
JavaScript
.NET
MongoDB
Node.js, Certificate
Letter of recommendation
Informal dress code
Free snacks & beverages"
Computer Vision,Artenal,"Machine Learning, Computer Vision, Amazon Web Services (AWS), Artifical Intelligence","Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,5 Months,1500 /month + Incentives,Be an early applicant,"Machine Learning
Computer Vision
Amazon Web Services (AWS)
Artifical Intelligence, Letter of recommendation
Flexible work hours
5 days a week"
React Development (Front-End),NetArt,,Certificate,Work From Home,3 Months,3000 /month,64 applicants,Certificate
Backend Development,Gamapp Sportswizz League,,,Work From Home,6 Months,10000 /month,Be an early applicant,Certificate
Android Engineering,Sumaiya Industries Private Limited,"SQLite, REST API, Android, Kotlin","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,4 Months,10000 /month,Be an early applicant,"SQLite
REST API
Android
Kotlin, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Arcskill Technologies,"PHP, HTML, CSS, JavaScript",,Work From Home,2 Months,2000 /month,61 applicants,"PHP
HTML
CSS
JavaScript, Certificate"
Web Development,ShellCode Solutions,"PHP, MySQL, HTML, CSS, SQL, Bootstrap, MongoDB, AngularJS, Node.js, REST API, ReactJS, Firebase, Angular 7.0","Certificate, Letter of recommendation",Work From Home,4 Months,5000 /month,Be an early applicant,"PHP
MySQL
HTML
CSS
SQL
Bootstrap
MongoDB
AngularJS
Node.js
REST API
ReactJS
Firebase
Angular 7.0, Certificate
Letter of recommendation"
Laravel Development,Tech E-Box,LARAVEL,,"Aurangabad, Pune, Jalna, Pimpri-Chinchwad, Nagpur",3 Months,10000-12000 /month,Be an early applicant,"LARAVEL, Certificate
Letter of recommendation
Flexible work hours
Job offer"
Mobile App Development,ShellCode Solutions,"MongoDB, Node.js, Flutter, REST API, React Native, Firebase, Firebase Cloud Messaging, Cloud Firestore",,Work From Home,2 Months,5000 /month,51 applicants,"MongoDB
Node.js
Flutter
REST API
React Native
Firebase
Firebase Cloud Messaging
Cloud Firestore, Certificate
Letter of recommendation"
Web Development,California Medical Behavioral Health,"PHP, .NET, Node.js, LARAVEL, ReactJS","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",Lucknow,6 Months,15000-25000 /month,Be an early applicant,"PHP
.NET
Node.js
LARAVEL
ReactJS, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week"
PHP Development,Cyber Saga,PHP,"Certificate, Letter of recommendation",Work From Home,2 Months,10000 /month,37 applicants,"PHP, Certificate
Letter of recommendation"
Node.js Development,6DegreesIT,"Node.js, Express.js, ReactJS",,Work From Home,6 Months,15000-20000 /month,60 applicants,"Node.js
Express.js
ReactJS"
Web Development,ScaleIt,"HTML, CSS, jQuery, C#, .NET, C#.NET, SQL, ASP.NET","Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,1500-2500 /month,Be an early applicant,"HTML
CSS
jQuery
C#
.NET
C#.NET
SQL
ASP.NET, Certificate
Letter of recommendation
Flexible work hours"
Full Stack Development,TheOther 2 Thirds Consulting LLP,"PHP, MySQL, JavaScript, Python, MS-Word, SQL, AngularJS, Node.js, MS-Excel, UI & UX Design, English Proficiency (Spoken), English Proficiency (Written), ReactJS, Angular 2.0, Angular 7.0","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,10000 /month,Be an early applicant,"PHP
MySQL
JavaScript
Python
MS-Word
SQL
AngularJS
Node.js
MS-Excel
UI & UX Design
English Proficiency (Spoken)
English Proficiency (Written)
ReactJS
Angular 2.0
Angular 7.0, Certificate
Letter of recommendation
Flexible work hours"
Full Stack Development,DocsUp Private Limited,"HTML, CSS, Bootstrap, MongoDB, Node.js, GitHub, Express.js, REST API, ReactJS, Stripe Payment API, Redux, Firebase, Materialize, Amazon Web Server (AWS)",,Work From Home,3 Months,4000-7000 /month,Be an early applicant,"HTML
CSS
Bootstrap
MongoDB
Node.js
GitHub
Express.js
REST API
ReactJS
Stripe Payment API
Redux
Firebase
Materialize
Amazon Web Server (AWS), Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Softcell Technologies Limited,"Java, PHP, iOS",Certificate,Mumbai,6 Months,15000 /month,Be an early applicant,"Java
PHP
iOS, Certificate"
Web Development,Posh Pitara,"HTML, WordPress, MS-Word, MS-Excel",Letter of recommendation,Work From Home,6 Months,5000-7000 /month,37 applicants,"HTML
WordPress
MS-Word
MS-Excel, Letter of recommendation"
iOS App Development,Daphnis Labs Technologies Private Limited,"XML, Xcode, Objective C, JSON, Swift, iOS","Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,6000-12000 /month,Be an early applicant,"XML
Xcode
Objective C
JSON
Swift
iOS, Certificate
Letter of recommendation
Flexible work hours"
Mobile App Development,Tokn Technologies,"Java, Swift, Flutter, iOS, Android, Kotlin","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Hyderabad,6 Months,10000 /month + Incentives,Be an early applicant,"Java
Swift
Flutter
iOS
Android
Kotlin, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
Job offer"
Web Development,IRIS Business Services Limited,"PHP, HTML, CSS, JavaScript, WordPress, Bootstrap",,Work From Home,6 Months,15000 /month,45 applicants,"PHP
HTML
CSS
JavaScript
WordPress
Bootstrap, Flexible work hours
5 days a week"
Flutter Development,OyeLabs,"Flutter, Firebase",,Work From Home,6 Months,5000-10000 /month,Be an early applicant,"Flutter
Firebase, Certificate
Letter of recommendation"
Node.js Development,Triceria Solutions,Node.js,,Work From Home,3 Months,3000-5000 lump sum,29 applicants,"Node.js, Certificate
Letter of recommendation
Flexible work hours"
WordPress Design,Honest Designs,"HTML, CSS, English Proficiency (Spoken), English Proficiency (Written)","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,3 Months,2000-7000 /month,45 applicants,"HTML
CSS
English Proficiency (Spoken)
English Proficiency (Written), Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Unity Development,Software IT Solutions,"C#, Unity 3D, Animation, Unity Engine","Certificate, Letter of recommendation, 5 days a week","Mohali, Panchkula",3 Months,7000-10000 /month,Be an early applicant,"C#
Unity 3D
Animation
Unity Engine, Certificate
Letter of recommendation
5 days a week"
Web Development,FlashyVideo,"MySQL, HTML, CSS, Bootstrap","Certificate, Letter of recommendation",Work From Home,6 Months,3000 /month,44 applicants,"MySQL
HTML
CSS
Bootstrap, Certificate
Letter of recommendation"
React Native Development (Android/iOS),Numetric Technologies Private Limited,"Java, JavaScript, Xcode, React Native, Android, ReactJS",,Work From Home,6 Months,15000 /month,Be an early applicant,"Java
JavaScript
Xcode
React Native
Android
ReactJS, Certificate
Letter of recommendation"
Full Stack Development,Software IT Solutions,"PHP, JavaScript, AngularJS, Node.js, Android, ReactJS","Certificate, Letter of recommendation, 5 days a week","Mohali, Panchkula",3 Months,7000-10000 /month,Be an early applicant,"PHP
JavaScript
AngularJS
Node.js
Android
ReactJS, Certificate
Letter of recommendation
5 days a week"
Django Development,GymCounselor,"HTML, CSS, Bootstrap, Django","Certificate, Letter of recommendation, Flexible work hours",Work From Home,1 Month,1000 /month,Be an early applicant,"HTML
CSS
Bootstrap
Django, Certificate
Letter of recommendation
Flexible work hours"
Web Development,KBCD TECH SOLUTIONS PVT LTD.,"PHP, AngularJS, Node.js","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",Greater Noida,6 Months,4500 /month,Be an early applicant,"PHP
AngularJS
Node.js, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Free snacks & beverages
Job offer"
Information Technology,Purvatron Industries,,,Work From Home,3 Months,5000 /month,Be an early applicant,"Certificate
Flexible work hours"
Web Development,Youreximstore By 118 EXIM LLP,,,Mumbai,1 Month,5000-10000 /month,Be an early applicant,Certificate
iOS Development,IMG Global Infotech Private Limited,iOS,Informal dress code,Jaipur,6 Months,5000 /month,Be an early applicant,"iOS, Informal dress code"
Web Development,SR Gauni Fashion & Apparels,"Java, HTML, CSS, JavaScript, jQuery, WordPress","Certificate, Letter of recommendation, Informal dress code",Hyderabad,2 Months,8000 lump sum,Be an early applicant,"Java
HTML
CSS
JavaScript
jQuery
WordPress, Certificate
Letter of recommendation
Informal dress code"
Web Development,Nanjil Anand Foundation,WordPress,"Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,Unpaid,Be an early applicant,"WordPress, Certificate
Letter of recommendation
Flexible work hours"
PHP Web Develoment,Software IT Solutions,"PHP, MySQL, JavaScript, jQuery, WordPress, AJAX, SQL","Certificate, Letter of recommendation, 5 days a week","Mohali, Panchkula",3 Months,6000-12000 /month,Be an early applicant,"PHP
MySQL
JavaScript
jQuery
WordPress
AJAX
SQL, Certificate
Letter of recommendation
5 days a week"
Android Development,Software IT Solutions,"Java, Django, JSON, REST API, Android, Kotlin","Certificate, Letter of recommendation, 5 days a week","Mohali, Panchkula",3 Months,8000-10000 /month,Be an early applicant,"Java
Django
JSON
REST API
Android
Kotlin, Certificate
Letter of recommendation
5 days a week"
Product Management,Across The Globe (ATG),English Proficiency (Spoken),"Certificate, Flexible work hours",Work From Home,6 Months,4000-7000 /month,Be an early applicant,"English Proficiency (Spoken), Certificate
Flexible work hours"
Backend Development,Global Free School,"PHP, MySQL, HTML, CSS, JavaScript, jQuery, CodeIgniter, NoSQL, LARAVEL, REST API","Certificate, Letter of recommendation",Work From Home,6 Months,20000 /month,Be an early applicant,"PHP
MySQL
HTML
CSS
JavaScript
jQuery
CodeIgniter
NoSQL
LARAVEL
REST API, Certificate
Letter of recommendation"
MEAN Stack Development,Modgenics Technology Solutions Private Limited,"HTML, CSS, JavaScript, MongoDB, AngularJS, Node.js, Express.js","Certificate, Letter of recommendation",Work From Home,3 Months,10000 /month,Be an early applicant,"HTML
CSS
JavaScript
MongoDB
AngularJS
Node.js
Express.js, Certificate
Letter of recommendation"
MEAN Stack Development,Modgenics Technology Solutions Private Limited,"HTML, CSS, JavaScript, MongoDB, AngularJS, Node.js, Express.js","Certificate, Letter of recommendation",Work From Home,3 Months,10000 /month,Be an early applicant,"HTML
CSS
JavaScript
MongoDB
AngularJS
Node.js
Express.js, Certificate
Letter of recommendation"
Product Management,Across The Globe (ATG),English Proficiency (Spoken),"Certificate, Flexible work hours",Work From Home,6 Months,4000-7000 /month,Be an early applicant,"English Proficiency (Spoken), Certificate
Flexible work hours"
Backend Development,Global Free School,"PHP, MySQL, HTML, CSS, JavaScript, jQuery, CodeIgniter, NoSQL, LARAVEL, REST API","Certificate, Letter of recommendation",Work From Home,6 Months,20000 /month,Be an early applicant,"PHP
MySQL
HTML
CSS
JavaScript
jQuery
CodeIgniter
NoSQL
LARAVEL
REST API, Certificate
Letter of recommendation"
MEAN Stack Development,Modgenics Technology Solutions Private Limited,"HTML, CSS, JavaScript, MongoDB, AngularJS, Node.js, Express.js","Certificate, Letter of recommendation",Work From Home,3 Months,10000 /month,Be an early applicant,"HTML
CSS
JavaScript
MongoDB
AngularJS
Node.js
Express.js, Certificate
Letter of recommendation"
Product Management (Technical),Across The Globe (ATG),English Proficiency (Spoken),"Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,4000-7000 /month,Be an early applicant,"English Proficiency (Spoken), Certificate
Letter of recommendation
Flexible work hours"
Content Development (ICT/Computer Science),Yardstick Educational Initiatives,"MS-Office, Python, MS-Word, MS-PowerPoint, MS-Excel","Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,8000 /month,Be an early applicant,"MS-Office
Python
MS-Word
MS-PowerPoint
MS-Excel, Certificate
Letter of recommendation
Flexible work hours"
QA/Software Testing,Software IT Solutions,Manual Testing,,"Mohali, Panchkula",3 Months,7000-10000 /month,Be an early applicant,"Manual Testing, Certificate
Letter of recommendation
5 days a week"
Web Development,RMPro E-learning Solutions (OPC) Private Limited,"HTML, CSS, WordPress, User Interface (UI) Development","Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",Delhi,2 Months,5000-10000 /month,Be an early applicant,"HTML
CSS
WordPress
User Interface (UI) Development, Certificate
Letter of recommendation
Informal dress code
Free snacks & beverages"
Front End Development,Hermanos,,,Thane,6 Months,6000 /month,Be an early applicant,Certificate
Mobile App Development,KBCD TECH SOLUTIONS PVT LTD.,"JavaScript, Data Structures, Data Analytics, Flutter","Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",Greater Noida,6 Months,3500 /month,Be an early applicant,"JavaScript
Data Structures
Data Analytics
Flutter, Certificate
Letter of recommendation
Flexible work hours
Informal dress code
5 days a week
Free snacks & beverages
Job offer"
Web Development,Filium Enterprises Private Limited,"PHP, JavaScript, jQuery, AJAX, SQL","Certificate, Letter of recommendation",Work From Home,6 Months,18000 /month,38 applicants,"PHP
JavaScript
jQuery
AJAX
SQL, Certificate
Letter of recommendation"
Web Development,Computer Software Solutions,"Java, Cloud Computing, MongoDB, Spring MVC","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,3000-7000 /month,Be an early applicant,"Java
Cloud Computing
MongoDB
Spring MVC, Certificate
Letter of recommendation
Flexible work hours"
Web Development,Zocket Technologiues Private Limited,"MySQL, HTML, CSS, Bootstrap, Node.js, ReactJS","Certificate, Flexible work hours",Work From Home,2 Months,15000-25000 /month,122 applicants,"MySQL
HTML
CSS
Bootstrap
Node.js
ReactJS, Certificate
Flexible work hours"
Web Development,TBM Technologies Private Limited,"PHP, HTML, CSS, JavaScript, WordPress, Bootstrap",,Delhi,3 Months,5000 /month,Be an early applicant,"PHP
HTML
CSS
JavaScript
WordPress
Bootstrap, Certificate
Letter of recommendation"
Full Stack Development (MERN),Possibillion Software Technologies Private Limited,"MongoDB, Node.js, Express.js, ReactJS","Certificate, Letter of recommendation, 5 days a week",Work From Home,6 Months,10000-12000 /month,27 applicants,"MongoDB
Node.js
Express.js
ReactJS, Certificate
Letter of recommendation
5 days a week"
Java Development,KUKbit Software Lab,"Java, HTML, C Programming","Certificate, Letter of recommendation, 5 days a week",Work From Home,1 Month,12000 /month,192 applicants,"Java
HTML
C Programming, Certificate
Letter of recommendation
5 days a week"
Backend Development (Node.js),Agrilinks Data Technologies Private Limited,"MySQL, Software Testing, MongoDB, Node.js, REST API, Amazon Web Services (AWS)",,Work From Home,3 Months,10000 /month,Be an early applicant,"MySQL
Software Testing
MongoDB
Node.js
REST API
Amazon Web Services (AWS), Certificate
Letter of recommendation
Flexible work hours"
Full Stack Development,KUKbit Software Lab,"Java, JavaScript, AngularJS","Certificate, Letter of recommendation, Informal dress code, 5 days a week",Pune,1 Month,13000 /month,Be an early applicant,"Java
JavaScript
AngularJS, Certificate
Letter of recommendation
Informal dress code
5 days a week"
Web Development,SkillBit,"PHP, HTML, CSS, Python, WordPress, Bootstrap, AngularJS","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,2 Months,5000 /month,49 applicants,"PHP
HTML
CSS
Python
WordPress
Bootstrap
AngularJS, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
WordPress Development,Radon Consultancy,"PHP, HTML, WordPress, Amazon Web Server (AWS)",Certificate,Work From Home,1 Month,3000 /month,48 applicants,"PHP
HTML
WordPress
Amazon Web Server (AWS), Certificate"
Web Development,SkillBit,"PHP, HTML, CSS, Python, WordPress, Bootstrap, AngularJS","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,2 Months,5000 /month,49 applicants,"PHP
HTML
CSS
Python
WordPress
Bootstrap
AngularJS, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
WordPress Development,Radon Consultancy,"PHP, HTML, WordPress, Amazon Web Server (AWS)",Certificate,Work From Home,1 Month,3000 /month,48 applicants,"PHP
HTML
WordPress
Amazon Web Server (AWS), Certificate"
Web Development,GAHTEO LLP,"HTML, CSS, Adobe Photoshop, WordPress, Search Engine Optimization (SEO), CodeIgniter","Certificate, Flexible work hours, Informal dress code, 5 days a week, Job offer",Dehradun,4 Months,5000 /month + Incentives,Be an early applicant,"HTML
CSS
Adobe Photoshop
WordPress
Search Engine Optimization (SEO)
CodeIgniter, Certificate
Flexible work hours
Informal dress code
5 days a week
Job offer"
Web Development,Rise Retail & Payment Solutions Private Limited,PHP,,Work From Home,2 Months,2000 /month,27 applicants,"PHP, Certificate
Flexible work hours"
Web Designing,Software IT Solutions,"HTML, CSS, Adobe Photoshop, Bootstrap","Certificate, Letter of recommendation, 5 days a week","Mohali, Panchkula",3 Months,7000-10000 /month,Be an early applicant,"HTML
CSS
Adobe Photoshop
Bootstrap, Certificate
Letter of recommendation
5 days a week"
Web Development,Anetazo Technologies,"PHP, MySQL, jQuery, AJAX, AngularJS, REST API, MEAN/MERN Stack, Subject Matter Expert (SME)","Certificate, Letter of recommendation, Flexible work hours",Work From Home,3 Months,10000 /month,Be an early applicant,"PHP
MySQL
jQuery
AJAX
AngularJS
REST API
MEAN/MERN Stack
Subject Matter Expert (SME), Certificate
Letter of recommendation
Flexible work hours"
Mobile App Development,GAHTEO LLP,"React Native, ReactJS","Certificate, Flexible work hours, Informal dress code, 5 days a week",Dehradun,4 Months,2000 /month,Be an early applicant,"React Native
ReactJS, Certificate
Flexible work hours
Informal dress code
5 days a week"
Web Development,ALMI Blogging School Pro (Almi Production Land Solar Private Limited),,,Chennai,1 Month,2000 /month,Be an early applicant,"Certificate
Letter of recommendation
5 days a week"
Web Development,MS Global Company,,,Work From Home,6 Months,4000 /month,Be an early applicant,"Certificate
Letter of recommendation"
Web Development,E-TechWebster,"MySQL, HTML, CSS, JavaScript, Python","Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",Noida,3 Months,6000 /month,Be an early applicant,"MySQL
HTML
CSS
JavaScript
Python, Certificate
Letter of recommendation
Informal dress code
5 days a week
Free snacks & beverages"
Android App Development,Ferofly,"Java, JavaScript, XML, User Interface (UI) Development, JSON, REST API, Android, Kotlin","Certificate, Letter of recommendation, Flexible work hours",Work From Home,6 Months,1500 /month + Incentives,Be an early applicant,"Java
JavaScript
XML
User Interface (UI) Development
JSON
REST API
Android
Kotlin, Certificate
Letter of recommendation
Flexible work hours"
Project Coordination (MBA/PGDM Graduate),Hurix Digital,,"Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,30000 /month,70 applicants,"Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,Bytelearn,"Django, Node.js, Express.js, React Native, ReactJS","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,30000 /month,93 applicants,"Django
Node.js
Express.js
React Native
ReactJS, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
